[2026-07-26 22:10:53,892: INFO: main: Logging is implemented]
[2026-07-27 21:03:14,618: INFO: common: YAML file loaded successfully: config\config.yaml]
[2026-07-27 21:03:14,624: INFO: common: YAML file loaded successfully: params.yaml]
[2026-07-27 21:03:14,627: INFO: common: Directory created at: artifacts]
[2026-07-27 21:03:14,629: INFO: common: Directory created at: artifacts/data_ingestion]
[2026-07-27 21:04:40,440: INFO: common: YAML file loaded successfully: config\config.yaml]
[2026-07-27 21:04:40,442: INFO: common: YAML file loaded successfully: params.yaml]
[2026-07-27 21:04:40,443: INFO: common: Directory created at: artifacts]
[2026-07-27 21:04:40,446: INFO: common: Directory created at: artifacts/data_ingestion]
[2026-07-27 21:15:50,841: INFO: common: YAML file loaded successfully: config\config.yaml]
[2026-07-27 21:15:50,843: INFO: common: YAML file loaded successfully: params.yaml]
[2026-07-27 21:15:50,844: INFO: common: Directory created at: artifacts]
[2026-07-27 21:15:50,845: INFO: common: Directory created at: artifacts/data_ingestion]
[2026-07-27 21:16:01,212: INFO: 3465340061: File downloaded successfully:]
[2026-07-27 21:16:01,340: INFO: 3465340061: File extracted successfully: artifacts/data_ingestion]
[2026-07-28 23:10:43,786: INFO: main: >>>>> stage Data Ingestion Stage started <<<<<]
[2026-07-28 23:10:43,789: INFO: common: YAML file loaded successfully: config\config.yaml]
[2026-07-28 23:10:43,798: INFO: common: YAML file loaded successfully: params.yaml]
[2026-07-28 23:10:43,798: INFO: common: Directory created at: artifacts]
[2026-07-28 23:10:43,799: INFO: common: Directory created at: artifacts/data_ingestion]
[2026-07-28 23:11:41,080: INFO: data_ingestion: File downloaded successfully:]
[2026-07-28 23:11:41,201: INFO: data_ingestion: File extracted successfully: artifacts/data_ingestion]
[2026-07-28 23:11:41,201: INFO: main: >>>>> stage Data Ingestion Stage completed <<<<<

x==========x]
[2026-07-28 23:12:22,522: INFO: main: >>>>> stage Data Ingestion Stage started <<<<<]
[2026-07-28 23:12:22,524: INFO: common: YAML file loaded successfully: config\config.yaml]
[2026-07-28 23:12:22,526: INFO: common: YAML file loaded successfully: params.yaml]
[2026-07-28 23:12:22,526: INFO: common: Directory created at: artifacts]
[2026-07-28 23:12:22,526: INFO: common: Directory created at: artifacts/data_ingestion]
[2026-07-28 23:12:22,527: INFO: data_ingestion: File already exists.]
[2026-07-28 23:12:22,634: INFO: data_ingestion: File extracted successfully: artifacts/data_ingestion]
[2026-07-28 23:12:22,634: INFO: main: >>>>> stage Data Ingestion Stage completed <<<<<

x==========x]
[2026-07-29 00:03:52,895: INFO: common: YAML file loaded successfully: config\config.yaml]
[2026-07-29 00:03:52,940: INFO: common: YAML file loaded successfully: params.yaml]
[2026-07-29 00:03:52,944: INFO: common: Directory created at: artifacts]
[2026-07-29 00:03:52,945: INFO: common: Directory created at: artifacts/data_transformation]
[2026-07-29 00:03:53,781: INFO: _client: HTTP Request: GET https://huggingface.co/api/agent-harnesses "HTTP/1.1 200 OK"]
[2026-07-29 00:03:54,087: INFO: _client: HTTP Request: HEAD https://huggingface.co/google/pegasus-cnn_dailymail/resolve/main/config.json "HTTP/1.1 307 Temporary Redirect"]
[2026-07-29 00:03:54,090: WARNING: _http: Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.]
[2026-07-29 00:03:54,144: INFO: _client: HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/google/pegasus-cnn_dailymail/40d588fdab0cc077b80d950b300bf66ad3c75b92/config.json "HTTP/1.1 200 OK"]
[2026-07-29 00:03:54,216: INFO: _client: HTTP Request: GET https://huggingface.co/api/resolve-cache/models/google/pegasus-cnn_dailymail/40d588fdab0cc077b80d950b300bf66ad3c75b92/config.json "HTTP/1.1 200 OK"]
[2026-07-29 00:03:54,599: INFO: _client: HTTP Request: HEAD https://huggingface.co/google/pegasus-cnn_dailymail/resolve/main/tokenizer_config.json "HTTP/1.1 307 Temporary Redirect"]
[2026-07-29 00:03:54,640: INFO: _client: HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/google/pegasus-cnn_dailymail/40d588fdab0cc077b80d950b300bf66ad3c75b92/tokenizer_config.json "HTTP/1.1 200 OK"]
[2026-07-29 00:03:54,720: INFO: _client: HTTP Request: GET https://huggingface.co/api/resolve-cache/models/google/pegasus-cnn_dailymail/40d588fdab0cc077b80d950b300bf66ad3c75b92/tokenizer_config.json "HTTP/1.1 200 OK"]
